Best Array,Sample Name
a550810-4323468-051118-543_B03,Schneider_C107
a550810-4323468-051118-543_B04,Schneider_C108
a550810-4323468-051118-543_B05,Schneider_C109
a550810-4323468-051118-542_B06,Schneider_C110
a550810-4323468-051118-543_B07,Schneider_C111
a550810-4323468-051118-543_B08,Schneider_C112
a550810-4323468-051118-543_B09,Schneider_C113
a550810-4323468-051118-543_B10,Schneider_C114
a550810-4323468-051118-542_B11,Schneider_C115
a550810-4323468-051118-543_B12,Schneider_C116
a550810-4323468-051118-542_C01,Schneider_C117
a550810-4323468-051118-542_C02,Schneider_C118
a550810-4323468-051118-542_C03,Schneider_C119
a550810-4323468-051118-542_C04,Schneider_C120
a550810-4323468-051118-542_C05,Schneider_C121
a550810-4323468-051118-543_C06,Schneider_C122
a550810-4323468-051118-542_C07,Schneider_C123
a550810-4323468-051118-543_C08,Schneider_C124
a550810-4323468-051118-543_C09,Schneider_C125
a550810-4323468-051118-543_C10,Schneider_C126
a550810-4323468-051118-543_C11,Schneider_C127
a550810-4323468-051118-543_C12,Schneider_C128
a550810-4323468-051118-542_D01,Schneider_C129
a550810-4323468-051118-542_D02,Schneider_C130
a550810-4323468-051118-542_D03,Schneider_C131
a550810-4323468-051118-542_D04,Schneider_C132
a550810-4323468-051118-542_D05,Schneider_C133
a550810-4323468-051118-542_D06,Schneider_C134
a550810-4323468-051118-542_D07,Schneider_C135
a550810-4323468-051118-543_D08,Schneider_C136
a550810-4323468-051118-543_D09,Schneider_C137
a550810-4323468-051118-542_D10,Schneider_C138
a550810-4323468-051118-542_D11,Schneider_C139
a550810-4323468-051118-543_D12,Schneider_C140
a550810-4323468-051118-542_E01,Schneider_C141
a550810-4323468-051118-542_E02,Schneider_C142
a550810-4323468-051118-542_E03,Schneider_C143
a550810-4323468-051118-542_E04,Schneider_C144
a550810-4323468-051118-542_E05,Schneider_C145
a550810-4323468-051118-543_E06,Schneider_C146
a550810-4323468-051118-543_E07,Schneider_C147
a550810-4323468-051118-543_E08,Schneider_C148
a550810-4323468-051118-542_E09,Schneider_C149
a550810-4323468-051118-543_E10,Schneider_C150
a550810-4323468-051118-543_E11,Schneider_C151
a550810-4323468-051118-543_E12,Schneider_C152
a550810-4323468-051118-542_F01,Schneider_C153
a550810-4323468-051118-543_F02,Schneider_C154
a550810-4323468-051118-542_F03,Schneider_C155
a550810-4323468-051118-543_F04,Schneider_C156
a550810-4323468-051118-543_F05,Schneider_C157
a550810-4323468-051118-542_F06,Schneider_C158
a550810-4323468-051118-542_F07,Schneider_C159
a550810-4323468-051118-543_F08,Schneider_C160
a550810-4323468-051118-543_F09,Schneider_C161
